id,period_id,company,title,description,duration,credit_hours,modality,location,capacity,is_active
WA001,2026_S2,Voces por la Discapacidad,Plataforma educativa de la Lengua de Señas Mexicana,Desarrollo de recursos digitales para enseñar y difundir la Lengua de Señas Mexicana.,15,180,CLIN | Proyecto Solidario Línea,CCM,15,TRUE
WA002,2026_S2,Voces por la Discapacidad,Revista Virtual en Lengua de Señas Mexicana,"Creación de contenido accesible en LSM para informar, educar y promover inclusión.",15,180,CLIP | Proyecto Solidario Mixto,CCM,25,TRUE
WA003,2026_S2,Vive Planeta,Voces en acción,Proyecto de participación social para amplificar causas comunitarias e impulsar cambio positivo.,15,180,CLIP | Proyecto Solidario Mixto,CCM,20,TRUE
WA004,2026_S2,Violines Por la Paz A.C.,"Impulsa un Talento: Descubre, guía y transforma el potencial de niños de primaria.",Acompañamiento educativo para fortalecer habilidades y talentos de niñas y niños de primaria.,15,180,CLIP | Proyecto Solidario Mixto,CCM,19,TRUE
WA005,2026_S2,Vinculación Ciudadana El Salto,Reconocimiento de los Derechos Humanos con enfoque de cultura de paz.,Promoción de derechos humanos mediante actividades educativas orientadas a la paz y la convivencia.,10,120,CLIN | Proyecto Solidario Línea,CCM,20,TRUE
WA006,2026_S2,Unidos Somos Iguales,Primavera de Rol 2026,"Iniciativa formativa y comunitaria enfocada en participación, creatividad y trabajo colaborativo.",10,120,PSP | Proyecto Solidario Presencial,CCM,9,TRUE
WA007,2026_S2,Un TECHO para mi país México,Juventudes en acción para superar la pobreza,Movilización juvenil para diseñar e impulsar acciones contra la pobreza y la exclusión.,15,180,CLIP | Proyecto Solidario Mixto,CCM,28,TRUE
WA008,2026_S2,Tus Buenas Noticias IAP,Speak Up: transformando la ciudad con buenas noticias,Proyecto de comunicación social para difundir historias positivas e inspirar participación ciudadana.,15,180,CLIN | Proyecto Solidario Línea,CCM,18,TRUE
WA009,2026_S2,Tecnológico de Monterrey-Consultoría Tec,Consultoría Tec,Asesoría aplicada para apoyar organizaciones o comunidades en retos específicos de gestión o desarrollo.,15,180,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA010,2026_S2,Tecnológico de Monterrey- Patrones Hermosos,Planeación Campamento Patrones Hermosos 2026,Organización y preparación logística de un campamento con enfoque formativo y comunitario.,15,180,PSP | Proyecto Solidario Presencial,CCM,10,TRUE
WA011,2026_S2,Tecnológico de Monterrey- Biotecnología,Biotecnología,"Aplicación de conocimientos biotecnológicos en proyectos con impacto social, ambiental o educativo.",15,180,CLIP | Proyecto Solidario Mixto,CCM,15,TRUE
WA012,2026_S2,"Tecnológico de Monterrey, Licenciatura en Tecnología y Producción Musical CCM",Sesiones de grabación para el apoyo y fomento de la cultura,"Producción de contenido audiovisual para preservar, promover y difundir actividades culturales.",15,180,PSP | Proyecto Solidario Presencial,CCM,11,TRUE
WA013,2026_S2,Summa Terra,Semillas de conciencia,Acciones de sensibilización social y ambiental para fomentar reflexión y compromiso comunitario.,15,180,CLIP | Proyecto Solidario Mixto,CCM,16,TRUE
WA014,2026_S2,Servicio Social,Voces en Servicio,Espacio para comunicar experiencias e impacto de proyectos de servicio social.,5,60,CLIP | Proyecto Solidario Mixto,CCM,19,TRUE
WA015,2026_S2,Secretaría de Medio Ambiente y Recursos Naturales (SEMARNAT),"Proyecto integral de transformación digital, integración e interoperabilidad del sector ambiental federal",Apoyo a procesos de modernización tecnológica y conexión de sistemas en el ámbito ambiental público.,15,180,CLIP | Proyecto Solidario Mixto,CCM,30,TRUE
WA016,2026_S2,STEM@Tec,"STEM@Tec
","Promoción de ciencia, tecnología, ingeniería y matemáticas mediante actividades educativas y de inspiración.",15,180,PSP | Proyecto Solidario Presencial,CCM,8,TRUE
WA017,2026_S2,SHARE+,Impulsa SHARE+: Transformando vidas con educación digital y empleabilidad,Fortalecimiento de habilidades digitales y laborales para mejorar oportunidades de empleo.,15,180,CLIP | Proyecto Solidario Mixto,CCM,23,TRUE
WA018,2026_S2,"S.O.S Climático, divulgación y análisis, A.C.","Comunicación Climática Juvenil ""Raíces del Futuro"" (Sembramos hoy, respiramos mañana)",Creación de mensajes y campañas juveniles sobre cambio climático y sostenibilidad.,15,180,CLIP | Proyecto Solidario Mixto,CCM,10,TRUE
WA019,2026_S2,Red para la Restauración Integral y Familiar A.C.,Inspira comunicaciones,"Desarrollo de contenido estratégico para comunicar causas, proyectos e impacto social.",15,180,CLIP | Proyecto Solidario Mixto,CCM,27,TRUE
WA020,2026_S2,Promoción y Acción Comunitaria I.A.P.,Semillas en Acción,Actividades comunitarias orientadas a sembrar conciencia y generar impacto positivo local.,15,180,CLIP | Proyecto Solidario Mixto,CCM,14,TRUE
WA021,2026_S2,Programa YMCA de Desarrollo Comunitario y Asistencia Social. Centro de Desarrollo Comunitario YMCA Iztacalco.,Sembrando Inclusión,Proyecto para promover entornos más inclusivos y respetuosos de la diversidad.,15,180,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA022,2026_S2,Prepanet,Tutor Prepanet,Acompañamiento académico a estudiantes en modalidad flexible o a distancia.,15,180,CLIN | Proyecto Solidario Línea,CCM,19,TRUE
WA023,2026_S2,"Patronato de Apoyo Social, Casa PAS A.C.","Acompañamiento durante Club de Tareas para Niños, Niñas y Adolescentes de Casa PAS
",Apoyo escolar y formativo para infancia y adolescencia en espacios de refuerzo académico.,15,180,PSP | Proyecto Solidario Presencial,CCM,7,TRUE
WA024,2026_S2,Nexus,BioHéroes,"Proyecto educativo o ambiental enfocado en sostenibilidad, ciencia y acción responsable.",15,180,PSP | Proyecto Solidario Presencial,CCM,16,TRUE
WA025,2026_S2,NAOTEAM CCM,Acompañamiento social mediante robótica humanoide,"Uso de tecnología robótica para apoyar procesos de interacción, inclusión o aprendizaje social.",15,180,CLIP | Proyecto Solidario Mixto,CCM,17,TRUE
WA026,2026_S2,Módulo Deportivo San Nicolas Tolentino,Cursos gratuitos en apoyo a la ciudadanía,Impartición de talleres y cursos abiertos para fortalecer conocimientos y habilidades en la comunidad.,15,180,PSP | Proyecto Solidario Presencial,CCM,7,TRUE
WA027,2026_S2,La Gaviota Centro de atención a la discapacidad infantil,Carrera con causa 2026,Planeación y apoyo de un evento deportivo con fines solidarios o de recaudación.,10,120,CLIP | Proyecto Solidario Mixto,CCM,24,TRUE
WA028,2026_S2,La Casita de San Ángel .IA.P.,Innovación y desarrollo de talleres formativos para desarrollar habilidades sociales y laborales en personas adultas con discapacidad intelectual,"Diseño de talleres para fortalecer autonomía, inclusión y empleabilidad.",15,180,CLIP | Proyecto Solidario Mixto,CCM,15,TRUE
WA029,2026_S2,Jóvenes Ayudando a Niñas y Niños AC,Enseña y comparte matemáticas,Apoyo educativo para enseñar matemáticas de manera accesible y significativa.,15,180,CLIN | Proyecto Solidario Línea,CCM,25,TRUE
WA030,2026_S2,"Jefatura de Unidad Departamental de Atención a la Población Adulta Mayor, Alcaldía Tlalpan",Encuentro con la sabiduría Tlalpense,"Rescate y difusión de conocimientos, tradiciones y experiencias de la comunidad de Tlalpan.",15,180,CLIP | Proyecto Solidario Mixto,CCM,19,TRUE
WA031,2026_S2,Instituto Mexicano del Seguro Social,Incorporación de personas trabajadoras independientes y personas trabajadoras del hogar,Apoyo informativo y administrativo para inclusión laboral y acceso a derechos.,15,180,CLIN | Proyecto Solidario Línea,CCM,5,TRUE
WA032,2026_S2,Iniciativa de Educación con Equidad y Calidad - Tecnológico de Monterrey,Aprendizajes para Todos + Tec de Monterrey,Refuerzo educativo para ampliar oportunidades de aprendizaje en poblaciones diversas.,15,180,CLIN | Proyecto Solidario en Línea,CCM,19,TRUE
WA033,2026_S2,Fundación Una Mirada Rett,Construyendo una Rett de Apoyo,Creación de redes de acompañamiento para personas y familias vinculadas al síndrome de Rett.,15,180,CLIP | Proyecto Solidario Mixto,CCM,10,TRUE
WA034,2026_S2,Fundación Sue Aguayo A.C.,El éxito también es tuyo,Proyecto de acompañamiento y motivación para impulsar desarrollo personal y académico.,15,180,CLIP | Proyecto Solidario Mixto,CCM,27,TRUE
WA035,2026_S2,Fundación Libera México,Construyendo un mundo libre de trata,Acciones de sensibilización y prevención sobre trata de personas.,15,180,PSP | Proyecto Solidario Presencial,CCM,25,TRUE
WA036,2026_S2,Fundación Espera la Primavera I.A.P.,Memes para la Paz,"Uso de contenido digital creativo para promover mensajes de paz, respeto y convivencia.",15,180,CLIN | Proyecto Solidario Línea,CCM,8,TRUE
WA037,2026_S2,Fundación Espera la Primavera I.A.P.,Primavera en el Aula,Actividades educativas y de acompañamiento en entornos escolares.,15,180,CLIP | Proyecto Solidario Mixto,CCM,7,TRUE
WA038,2026_S2,Fundación Espera la Primavera I.A.P.,Primavera en la Nube,Apoyo educativo o social mediante herramientas digitales y espacios virtuales.,15,180,CLIN | Proyecto Solidario Línea,CCM,30,TRUE
WA039,2026_S2,Fundación Espera la Primavera I.A.P.,Ecos de Primavera,Proyecto de comunicación o expresión comunitaria para difundir voces e historias con impacto.,15,180,CLIN | Proyecto Solidario Línea,CCM,30,TRUE
WA040,2026_S2,Fundación Burton Blooms I. A. P.,Asesor de educación secundaria,Acompañamiento académico para estudiantes de nivel secundaria.,15,180,PSP | Proyecto Solidario Presencial,CCM,12,TRUE
WA041,2026_S2,"Fundación Bull & Bear, A.C.",Bull & Bear: lectura y arte para acompañar,Uso de lectura y expresión artística como herramientas de acompañamiento y bienestar.,15,180,CLIP | Proyecto Solidario Mixto,CCM,25,TRUE
WA042,2026_S2,Fundación Aros A.C.,Atrévete a soñar,Proyecto motivacional y formativo para fortalecer aspiraciones y plan de vida.,15,180,CLIP | Proyecto Solidario Mixto,CCM,20,TRUE
WA043,2026_S2,Florecer Casa Hogar A.C,"Acompañamiento a niñas, niños y adolescentes en riesgo de calle.",Apoyo integral a menores en situación de vulnerabilidad social.,15,180,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA044,2026_S2,"FUCAM, A.C.",Diseña con Corazón,"Desarrollo de diseño con enfoque social para apoyar causas, comunidades u organizaciones.",15,180,CLIP | Proyecto Solidario Mixto,CCM,13,TRUE
WA045,2026_S2,Espera la Primavera IAP,Raíces de nutrición,Promoción de hábitos alimenticios saludables y educación en nutrición.,15,180,PSP | Proyecto Solidario Presencial,CCM,21,TRUE
WA046,2026_S2,Escuela Primaria de tiempo completo Somalia,Apoyando mi aprendizaje y fortalecer mi lectura,Refuerzo educativo orientado a comprensión lectora y habilidades de aprendizaje.,10,120,PSP | Proyecto Solidario Presencial,CCM,22,TRUE
WA047,2026_S2,Escuela Primaria Ucrania,Promoviendo habilidades creativas de aprendizaje.,Actividades para desarrollar creatividad como medio de aprendizaje significativo.,15,180,PSP | Proyecto Solidario Presencial,CCM,27,TRUE
WA048,2026_S2,Escuela Primaria Níger,Programa de Mejora Continua Primaria Níger,Apoyo a procesos educativos y de mejora escolar en nivel primaria.,10,120,PSP | Proyecto Solidario Presencial,CCM,25,TRUE
WA049,2026_S2,Empatía y Acción por la Inclusión”,“ODS en Movimiento: Empatía y Acción por la Inclusión”,Proyecto para sensibilizar sobre inclusión y Objetivos de Desarrollo Sostenible.,15,180,CLIP | Proyecto Solidario Mixto,CCM,24,TRUE
WA050,2026_S2,Distrito Tlalpan,Construir (nos),"Espacio de desarrollo personal y comunitario orientado a identidad, vínculo y colaboración.",15,180,PSP | Proyecto Solidario Presencial,CCM,24,TRUE
WA051,2026_S2,Dianui AC,Dianui: huertos que nutren e inicio seguro,Promoción de huertos y prácticas de alimentación saludable desde etapas tempranas.,15,180,CLIN | Proyecto Solidario Línea,CCM,13,TRUE
WA052,2026_S2,De Aprendices Para Aprendices (DAPA),EcoAcción Mensual: Sembrando Conciencia,Actividades periódicas de educación ambiental y acción ecológica.,15,180,CLIN | Proyecto Solidario Línea,CCM,29,TRUE
WA053,2026_S2,De Aprendices Para Aprendices (DAPA),¡Mejora tu Inglés Compartiendo lo que Sabes!,Apoyo al aprendizaje del inglés mediante tutoría o intercambio de conocimientos.,15,180,CLIN | Proyecto Solidario Línea,CCM,13,TRUE
WA054,2026_S2,Contagiando Voluntad,Contagiando al caminar: Todo empieza aquí.,Proyecto de sensibilización y acompañamiento comunitario desde la acción cotidiana.,15,180,CLIP | Proyecto Solidario Mixto,CCM,28,TRUE
WA055,2026_S2,ComposTEC,ComposTEC,Iniciativa de composta y manejo responsable de residuos orgánicos en comunidad.,15,180,PSP | Proyecto Solidario Presencial,CCM,23,TRUE
WA056,2026_S2,Clínica legal de emprendimiento y acceso a la justicia,Clínica jurídica de emprendimiento y acceso a la justicia.,Asesoría legal para fortalecer emprendimientos y ampliar acceso a derechos.,15,180,CLIP | Proyecto Solidario Mixto,CCM,12,TRUE
WA057,2026_S2,Clínica Mexicana de Autismo y Alteraciones del Desarrollo A.C.,Apoyo en el desarrollo de habilidades de vida independiente para personas con Autismo,Acompañamiento para fortalecer autonomía y funcionamiento cotidiano.,10,120,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA058,2026_S2,Clínica Mexicana de Autismo y Alteraciones del Desarrollo A.C.,Apoyo en el desarrollo de habilidades de vida independiente para personas con Autismo,Acompañamiento para fortalecer autonomía y funcionamiento cotidiano.,5,60,PSP | Proyecto Solidario Presencial,CCM,21,TRUE
WA059,2026_S2,Centro de escritura y comunidad Tlacoapa,Clases para infancia de Tlacoapa,Impartición de clases y actividades educativas para niñas y niños de Tlacoapa.,15,180,PSP | Proyecto Solidario Presencial,CCM,6,TRUE
WA060,2026_S2,Centro de Integración Sensorial,Educación integral para personas con Trastorno del Espectro Autista,Apoyo educativo con enfoque integral e inclusivo para personas con TEA.,15,180,CLIP | Proyecto Solidario Mixto,CCM,7,TRUE
WA061,2026_S2,Centro de Autonomía Personal y Social (CAPYS A.C.),Empoderando Vida Independiente para Personas con Discapacidad Intelectual,"Fortalecimiento de habilidades para autonomía, inclusión y participación social.",15,180,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA062,2026_S2,Centro de Acción Social Copilco AC,Recorriendo un Sendero,Acompañamiento formativo o comunitario centrado en procesos de crecimiento y aprendizaje.,15,180,PSP | Proyecto Solidario Presencial,CCM,7,TRUE
WA063,2026_S2,"Centro Tanatológico y Traslado en Ambulancia con Calidad Humana, AC",Posicionar a CETAC con contenido digital,Creación de estrategia y materiales digitales para fortalecer la presencia de CETAC.,10,120,CLIP | Proyecto Solidario Mixto,CCM,23,TRUE
WA064,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",Sonidos que unen: acercando la música a las comunidades,Promoción de acceso a la música como herramienta de integración y expresión.,15,180,CLIP | Proyecto Solidario Mixto,CCM,22,TRUE
WA065,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",Manos a la Obra: Transformando Comunidades,Trabajo colaborativo para mejorar espacios o procesos comunitarios.,15,180,CLIP | Proyecto Solidario Mixto,CCM,19,TRUE
WA066,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",Contabilidad para el Bien Común: Fortaleciendo la Transparencia,Apoyo contable y administrativo para fortalecer claridad y rendición de cuentas.,15,180,CLIP | Proyecto Solidario Mixto,CCM,9,TRUE
WA067,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",¡Haz comunidad! (Diseños y Marketing digital),Creación de materiales visuales y estrategias de difusión para fortalecer comunidad.,15,180,CLIP | Proyecto Solidario Mixto,CCM,29,TRUE
WA068,2026_S2,CEPI (Comunidad Educativa y Psicopedagógica Integral),Manejo de redes y apoyo en la inclusión de personas con discapacidad,Gestión de redes sociales con enfoque de inclusión y sensibilización.,15,180,CLIP | Proyecto Solidario Mixto,CCM,9,TRUE
WA069,2026_S2,Bienestar Estudiantil,Bienestar en Acción,"Actividades orientadas a salud integral, autocuidado y bienestar comunitario.",15,180,PSP | Proyecto Solidario Presencial,CCM,26,TRUE
WA070,2026_S2,Asociación para Leer Escuchar Escribir y Recrear A C (iBbY México),La sociedad de las palabras. Xochimilco,"Proyecto de lectura, escritura o expresión cultural con enfoque comunitario en Xochimilco.",15,180,PSP | Proyecto Solidario Presencial,CCM,28,TRUE
WA071,2026_S2,Asociación para Leer Escuchar Escribir y Recrear A C (iBbY México),La sociedad de las palabras. Mixcoac y Roma-Condesa,"Proyecto de lectura, escritura o expresión cultural en Mixcoac y Roma-Condesa.",15,180,PSP | Proyecto Solidario Presencial,CCM,7,TRUE
WA072,2026_S2,Asociación mexicana de la enfermedad de Huntington IAP,"Ven a divertirte, impulsando tu imaginación y creatividad al desarrollar medios de difusión para dar a conocer nuestra labor de ser.",Creación de materiales de difusión creativos para comunicar la labor de la organización.,15,180,PSP | Proyecto Solidario Presencial,CCM,20,TRUE
WA073,2026_S2,Asociación mexicana de la enfermedad de Huntington IAP,Te invitamos a colaborar apoyando en actividades administrativas y contables.,"Apoyo operativo en tareas administrativas, financieras y organizativas.",15,180,PSP | Proyecto Solidario Presencial,CCM,5,TRUE
WA074,2026_S2,Asociación EXATEC STEAM,Mentes sin límites... el camino STEM (continuación),"Continuación de actividades STEM para inspirar aprendizaje, creatividad e innovación.",15,180,CLIN | Proyecto Solidario Línea,CCM,30,TRUE
WA075,2026_S2,Arte y Cultura con Impacto Social,Arte y Cultura con Impacto Social,Uso de expresiones artísticas y culturales para generar transformación comunitaria.,15,180,PSP | Proyecto Solidario Presencial,CCM,6,TRUE
WA076,2026_S2,AMPRE-Maiasa,21 Días: Celebrando la Diversidad,Proyecto de sensibilización y actividades para reconocer y celebrar la diversidad.,15,180,CLIP | Proyecto Solidario Mixto,CCM,11,TRUE
WA077,2026_S2,AMPRE,"Sociedad inclusiva, Persona integrada",Promoción de inclusión social y participación plena de las personas en comunidad.,15,180,PSP | Proyecto Solidario Presencial,CCM,20,TRUE